ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE
281850136,2/7/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,RR 00000V0,V,B,41,1,45-64,M,BLACK
281850136,2/7/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,RR 00000V0,V,B,41,1,45-64,M,BLACK
281950858,2/9/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,LOC00000V0,V,B,40,1,45-64,M,BLACK
282307455,2/15/2024,905,"INTOXICATED DRIVING,ALCOHOL",347,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,K,63,0,65+,F,WHITE
283390156,3/8/2024,477,THEFT OF SERVICES- CABLE TV SE,678,MISCELLANEOUS PENAL LAW,PL 1651509,V,M,13,0,65+,M,WHITE
284194710,3/21/2024,904,"INTOXICATED DRIVING,ALCOHOL",119,INTOXICATED/IMPAIRED DRIVING,VTL11920E2,F,Q,106,0,<18,M,ASIAN / PACIFIC ISLANDER
284241203,3/24/2024,909,IMPAIRED DRIVING / ALCOHOL,880,MOVING INFRACTIONS,VTL119401B,I,B,43,0,25-44,M,WHITE HISPANIC
284758245,4/4/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,LOC00000V0,V,B,48,0,65+,M,WHITE HISPANIC
285204313,4/12/2024,909,IMPAIRED DRIVING / ALCOHOL,880,MOVING INFRACTIONS,VTL119401B,I,M,30,0,25-44,M,UNKNOWN
285223192,4/12/2024,477,THEFT OF SERVICES- CABLE TV SE,678,MISCELLANEOUS PENAL LAW,PL 1651509,V,S,120,17,18-24,M,BLACK
285238239,4/12/2024,638,"HARASSMENT,SUBD 3,4,5",578,HARRASSMENT 2,PL 2402603,V,S,120,0,65+,M,WHITE
285598120,4/19/2024,879,"ADM.CODE,UNCLASSIFIED VIOLATIO",675,ADMINISTRATIVE CODE,AC 0161186,V,K,76,0,65+,M,WHITE HISPANIC
289593662,7/5/2024,907,"IMPAIRED DRIVING,DRUG",347,INTOXICATED & IMPAIRED DRIVING,VTL11920U4,M,K,75,0,18-24,F,WHITE HISPANIC
290420598,7/22/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,LOC00000V0,V,B,41,1,65+,M,BLACK
291498554,8/10/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,RR 00000V0,V,K,73,1,65+,M,BLACK
291520263,8/11/2024,637,"HARASSMENT,SUBD 1,CIVILIAN",578,HARRASSMENT 2,PL 2402601,V,Q,110,0,65+,M,WHITE HISPANIC
292280571,8/26/2024,909,IMPAIRED DRIVING / ALCOHOL,880,MOVING INFRACTIONS,VTL119200A,I,M,25,0,18-24,M,WHITE HISPANIC
292551146,8/30/2024,905,"INTOXICATED DRIVING,ALCOHOL",347,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,S,122,0,<18,M,WHITE
293264753,9/14/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,LOC00000V0,V,Q,115,1,65+,M,BLACK
293600084,9/19/2024,909,IMPAIRED DRIVING / ALCOHOL,880,MOVING INFRACTIONS,VTL119401B,I,Q,115,0,45-64,F,WHITE HISPANIC
