ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE
279794478,1/1/2024,114,OBSTR BREATH/CIRCUL,344,ASSAULT 3 & RELATED OFFENSES,PL 1211100,M,Q,113,0,18-24,M,BLACK
279791320,1/1/2024,759,"PUBLIC ADMINISTATION,UNCLASS M",359,OFFENSES AGAINST PUBLIC ADMINI,PL 1950500,M,K,79,0,25-44,M,BLACK
279794480,1/1/2024,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL05110MU,M,S,120,0,25-44,M,BLACK
279791323,1/1/2024,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,71,0,18-24,M,BLACK
279792799,1/1/2024,705,"FORGERY,ETC.-MISD.",358,OFFENSES INVOLVING FRAUD,PL 1702000,M,B,50,0,25-44,F,BLACK HISPANIC
279792795,1/1/2024,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,52,0,25-44,M,BLACK HISPANIC
279789884,1/1/2024,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200502,F,K,72,0,45-64,M,BLACK
279779804,1/1/2024,113,"MENACING,UNCLASSIFIED",344,ASSAULT 3 & RELATED OFFENSES,PL 1201401,M,M,34,0,45-64,M,BLACK HISPANIC
279764507,1/1/2024,792,CRIMINAL POSSESSION WEAPON,118,DANGEROUS WEAPONS,PL 265031B,F,K,71,0,25-44,M,BLACK
279794318,1/1/2024,339,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,PL 1552500,M,S,121,0,25-44,M,WHITE
279805419,1/2/2024,157,RAPE 1,104,RAPE,PL 1303501,F,K,77,0,25-44,M,WHITE HISPANIC
279818317,1/2/2024,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200501,F,K,75,0,45-64,M,BLACK
279784122,1/1/2024,209,"BURGLARS TOOLS,UNCLASSIFIED",231,BURGLAR'S TOOLS,PL 1403500,M,K,60,0,25-44,M,WHITE
279779852,1/1/2024,905,"INTOXICATED DRIVING,ALCOHOL",347,INTOXICATED & IMPAIRED DRIVING,VTL1192000,M,S,120,0,25-44,M,WHITE
279767314,1/1/2024,782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650102,M,Q,103,0,25-44,M,WHITE HISPANIC
279884335,1/3/2024,153,RAPE 3,104,RAPE,PL 1302503,F,K,77,0,45-64,M,BLACK
279767315,1/1/2024,905,"INTOXICATED DRIVING,ALCOHOL",347,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,S,122,0,25-44,M,WHITE HISPANIC
279794652,1/1/2024,339,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,PL 1552500,M,Q,104,0,25-44,M,WHITE HISPANIC
279908777,1/3/2024,419,"LARCENY,GRAND FROM PERSON,UNCL",109,GRAND LARCENY,PL 1553005,F,K,71,0,25-44,M,BLACK
279794791,1/1/2024,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",113,FORGERY,PL 1657200,F,M,18,0,25-44,M,BLACK
279846363,1/2/2024,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL05110MU,M,K,63,0,18-24,M,BLACK
279833414,1/2/2024,339,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,PL 1552500,M,B,40,0,65+,M,BLACK
279794646,1/1/2024,139,"MURDER,UNCLASSIFIED",101,MURDER & NON-NEGL. MANSLAUGHTE,PL 125271A,F,M,14,0,25-44,M,WHITE
279805421,1/2/2024,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,PL 1600500,F,M,33,0,25-44,F,ASIAN / PACIFIC ISLANDER
279828908,1/2/2024,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,10,0,25-44,M,BLACK
279779822,1/1/2024,792,CRIMINAL POSSESSION WEAPON,118,DANGEROUS WEAPONS,PL 265031B,F,Q,113,0,25-44,M,BLACK
279803195,1/2/2024,49,U.S. CODE UNCLASSIFIED,995,FOR OTHER AUTHORITIES,FOA9000049,,Q,114,0,25-44,M,BLACK
279828905,1/2/2024,511,"CONTROLLED SUBSTANCE, POSSESSI",235,DANGEROUS DRUGS,PL 2200300,M,M,14,0,25-44,M,BLACK
279764521,1/1/2024,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200501,F,Q,114,0,45-64,M,WHITE
279846379,1/2/2024,748,"CONTEMPT,CRIMINAL",359,OFFENSES AGAINST PUBLIC ADMINI,PL 2155006,M,Q,106,0,25-44,F,ASIAN / PACIFIC ISLANDER
279820309,1/2/2024,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",351,CRIMINAL MISCHIEF & RELATED OF,PL 1450001,M,Q,103,0,18-24,F,BLACK
279815456,1/2/2024,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,34,0,25-44,M,BLACK HISPANIC
279846197,1/2/2024,339,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,PL 1552500,M,K,60,0,45-64,M,BLACK
279768912,1/1/2024,268,CRIMINAL MIS 2 & 3,121,CRIMINAL MISCHIEF & RELATED OF,PL 1450502,F,Q,111,0,18-24,M,WHITE
279902318,1/3/2024,705,"FORGERY,ETC.-MISD.",358,OFFENSES INVOLVING FRAUD,PL 1700500,M,M,26,0,25-44,M,WHITE HISPANIC
279912519,1/3/2024,681,"CHILD, ENDANGERING WELFARE",233,SEX CRIMES,PL 2601001,M,Q,110,0,25-44,M,WHITE HISPANIC
279805425,1/2/2024,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200502,F,Q,100,0,25-44,M,BLACK
279892604,1/3/2024,106,ASSAULT POLICE/PEACE OFFICER,106,FELONY ASSAULT,PL 1200800,F,Q,113,0,18-24,M,BLACK
279892613,1/3/2024,268,CRIMINAL MIS 2 & 3,121,CRIMINAL MISCHIEF & RELATED OF,PL 1451000,F,Q,104,0,25-44,M,BLACK HISPANIC
